Bairro,População,Criticidade,Impacto (m2),Custo (R$ mil)
Bairro 81,52126,7,2206,136
Bairro 82,24911,3,2723,86
Bairro 83,26647,10,2120,79
Bairro 84,22366,10,526,34
Bairro 85,27552,6,1017,67
Bairro 86,53534,5,2864,61
Bairro 87,55020,4,2309,138
Bairro 88,39750,6,2225,21
Bairro 89,46729,1,1555,40
Bairro 90,32617,2,1858,105
Bairro 91,52853,3,994,134
Bairro 92,34718,7,2410,102
Bairro 93,19432,8,1260,136
Bairro 94,9489,7,1001,30
Bairro 95,26141,1,2107,64
Bairro 96,31430,2,2276,124
Bairro 97,36501,3,2694,90
Bairro 98,22462,5,1004,40
Bairro 99,53063,5,1688,40
Bairro 100,34968,8,807,89
Bairro 101,38528,5,2986,35
Bairro 102,4283,6,1034,48
Bairro 103,12942,2,556,58
Bairro 104,57095,10,2897,114
Bairro 105,25766,4,1699,81
Bairro 106,55784,4,1622,98
Bairro 107,18659,5,2312,117
Bairro 108,42360,6,791,79
Bairro 109,22584,3,2014,77
Bairro 110,51002,6,1262,137
Bairro 111,44269,1,2849,97
Bairro 112,8705,9,2780,117
Bairro 113,14959,5,2193,97
Bairro 114,42118,10,2925,76
Bairro 115,20363,2,2837,79
Bairro 116,30862,8,1822,80
Bairro 117,59085,5,1859,21
Bairro 118,5795,3,768,87
Bairro 119,33207,9,2046,36
Bairro 120,56611,4,540,42
Bairro 121,16060,2,858,107
Bairro 122,57898,2,1787,49
Bairro 123,9806,9,714,72
Bairro 124,27165,1,2027,130
Bairro 125,43201,10,2679,66
Bairro 126,57446,8,832,121
Bairro 127,8798,5,892,101
Bairro 128,30604,4,2790,130
Bairro 129,9300,3,1196,98
Bairro 130,6755,4,1920,52
Bairro 131,27792,2,2736,124
Bairro 132,24106,3,2941,73
Bairro 133,18449,6,1756,86
Bairro 134,49948,5,2339,29
Bairro 135,47283,5,739,102
Bairro 136,49843,7,1041,67
Bairro 137,58841,1,2039,50
Bairro 138,13743,5,2043,97
Bairro 139,41428,4,2560,94
Bairro 140,6385,7,2784,72
Bairro 141,28670,9,1329,43
Bairro 142,43243,5,1583,103
Bairro 143,56214,9,842,112
Bairro 144,37743,10,1258,75
Bairro 145,51481,10,2988,68
Bairro 146,41243,1,2133,75
Bairro 147,10647,1,1471,60
Bairro 148,21471,3,910,36
Bairro 149,29219,9,1360,55
Bairro 150,57294,7,2370,119
Bairro 151,37561,6,2807,139
Bairro 152,23940,7,943,41
Bairro 153,34385,5,1357,24
Bairro 154,19942,4,2727,96
Bairro 155,14866,6,1015,36
Bairro 156,23817,6,950,49
Bairro 157,35115,9,933,66
Bairro 158,45006,3,2483,69
Bairro 159,21891,10,1684,47
Bairro 160,8696,6,516,37
Bairro 161,9397,6,792,69
Bairro 162,52574,1,2156,109
Bairro 163,27968,10,646,133
Bairro 164,49729,3,2443,43
Bairro 165,38878,4,2342,100
Bairro 166,42984,9,1339,32
Bairro 167,5732,3,1673,100
Bairro 168,48925,6,2952,33
Bairro 169,25560,5,2296,137
Bairro 170,49890,10,1337,69
Bairro 171,12822,8,2588,110
Bairro 172,22349,3,2418,73
Bairro 173,39688,3,2720,39
Bairro 174,34994,1,2734,99
Bairro 175,51587,9,1770,30
Bairro 176,5644,8,2170,35
Bairro 177,41708,3,2461,135
Bairro 178,33886,3,1108,110
Bairro 179,21002,7,2789,95
Bairro 180,6479,2,859,64
Bairro 181,27218,9,1240,125
Bairro 182,6969,10,1016,96
Bairro 183,41922,2,1214,64
Bairro 184,43022,3,986,35
Bairro 185,5236,4,2753,20
Bairro 186,43222,6,2348,71
Bairro 187,14493,1,2325,127
Bairro 188,6018,6,2096,120
Bairro 189,22912,3,680,68
Bairro 190,35157,2,2718,66
Bairro 191,8228,10,2026,57
Bairro 192,31528,9,707,64
Bairro 193,10434,5,597,42
Bairro 194,56120,10,2345,70
Bairro 195,4363,4,621,55
Bairro 196,59079,3,2286,99
Bairro 197,27436,5,1259,66
Bairro 198,40619,1,902,129
Bairro 199,19671,1,509,31
Bairro 200,15479,6,972,39
Bairro 201,19942,4,1625,139
Bairro 202,12503,2,528,27
Bairro 203,45073,2,1950,98
Bairro 204,21904,10,2761,60
Bairro 205,42591,2,565,137
Bairro 206,16972,7,2982,21
Bairro 207,16256,8,1783,124
Bairro 208,46701,4,2483,78
Bairro 209,24252,5,1350,79
Bairro 210,19476,6,2969,113
Bairro 211,12051,2,2313,31
Bairro 212,21859,6,2515,97
Bairro 213,22530,10,2805,66
Bairro 214,50821,6,516,58
Bairro 215,40417,4,2069,73
Bairro 216,20172,10,1585,107
Bairro 217,40755,7,1874,96
Bairro 218,29514,5,2586,45
Bairro 219,23860,8,1529,95
Bairro 220,16288,6,2158,83
Bairro 221,44537,1,549,74
Bairro 222,26661,3,1131,90
Bairro 223,47816,6,1061,144
Bairro 224,11402,3,2814,125
Bairro 225,28681,9,2007,50
Bairro 226,12482,2,2550,32
Bairro 227,12872,9,2152,98
Bairro 228,52455,9,1479,126
Bairro 229,53992,2,640,66
Bairro 230,42053,5,1569,33
Bairro 231,45837,9,791,102
Bairro 232,31945,5,1874,59
Bairro 233,23480,4,2415,66
Bairro 234,38987,4,1674,123
Bairro 235,9090,3,1528,124
Bairro 236,7696,4,2506,114
Bairro 237,43758,1,1313,117
Bairro 238,48919,1,2938,149
Bairro 239,32441,8,685,130
Bairro 240,48578,6,1809,95
Bairro 241,55857,9,1358,107
Bairro 242,32935,7,2636,86
Bairro 243,55589,9,2735,115
Bairro 244,16072,2,899,95
Bairro 245,39374,4,1630,91
Bairro 246,38960,1,2121,80
Bairro 247,24117,9,2282,23
Bairro 248,13883,8,2433,49
Bairro 249,42530,6,2889,125
Bairro 250,20034,6,1750,80
Bairro 251,56070,4,2563,138
Bairro 252,35892,8,665,55
Bairro 253,5291,2,925,113
Bairro 254,50331,5,2589,35
Bairro 255,16996,4,2835,109
Bairro 256,43769,8,1736,94
Bairro 257,31010,5,2503,114
Bairro 258,42960,8,2872,29
Bairro 259,48966,9,2334,36
Bairro 260,46750,9,2338,96
Bairro 261,19509,10,2339,84
Bairro 262,42310,1,1302,132
Bairro 263,44164,2,1139,106
Bairro 264,28017,7,2232,46
Bairro 265,19387,8,2969,92
Bairro 266,36689,9,2811,123
Bairro 267,15920,5,821,129
Bairro 268,33837,10,580,33
Bairro 269,38584,7,2954,137
Bairro 270,26485,9,1674,59
Bairro 271,58955,4,1840,108
Bairro 272,7210,1,754,132
Bairro 273,10090,1,1473,34
Bairro 274,5835,1,2066,67
Bairro 275,27469,5,1887,105
Bairro 276,31092,10,1643,123
Bairro 277,5278,9,2239,127
Bairro 278,39012,7,1887,116
Bairro 279,38113,8,1384,100
Bairro 280,52731,7,1741,55
Bairro 281,52390,5,798,25
Bairro 282,22644,9,650,23
Bairro 283,43772,5,2396,27
Bairro 284,33909,8,1486,116
Bairro 285,59123,4,2135,123
Bairro 286,16040,10,1295,65
Bairro 287,24628,3,2652,42
Bairro 288,14471,9,1803,91
Bairro 289,53864,8,775,138
Bairro 290,56013,2,1703,111
Bairro 291,31748,7,525,106
Bairro 292,23813,7,2813,73
Bairro 293,56062,7,2883,138
Bairro 294,37605,6,2963,52
Bairro 295,6137,2,2689,129
Bairro 296,24040,2,2841,126
Bairro 297,37342,8,1617,96
Bairro 298,10167,1,1039,81
Bairro 299,42161,2,2257,130
Bairro 300,32270,6,1795,35
Bairro 301,30652,6,1443,71
Bairro 302,46442,10,793,78
Bairro 303,25745,6,2609,63
Bairro 304,50365,7,1827,100
Bairro 305,6030,1,938,121
Bairro 306,46848,9,1090,149
Bairro 307,16923,7,772,139
Bairro 308,25702,2,2751,141
Bairro 309,25031,9,2768,117
Bairro 310,58865,8,1805,140
Bairro 311,19211,6,662,76
Bairro 312,51251,6,2527,105
Bairro 313,28503,1,1263,91
Bairro 314,36067,8,1796,77
Bairro 315,6899,10,1421,42
Bairro 316,35050,7,1854,126
Bairro 317,26458,9,2780,149
Bairro 318,23388,7,1149,50
Bairro 319,26646,2,2343,32
Bairro 320,39221,2,2103,73
Bairro 321,11172,7,2216,37
Bairro 322,17672,8,982,123
Bairro 323,15474,4,788,108
Bairro 324,12298,9,1931,30
Bairro 325,38606,10,1388,56
Bairro 326,19371,1,2814,101
Bairro 327,38437,7,1631,137
Bairro 328,50899,9,1733,78
Bairro 329,41806,8,1435,132
Bairro 330,56648,1,809,30
Bairro 331,41902,9,1597,62
Bairro 332,18795,9,620,108
Bairro 333,11045,1,1987,51
Bairro 334,50120,3,1344,147
Bairro 335,55440,4,2405,75
Bairro 336,50761,4,2423,61
Bairro 337,10394,10,2569,123
Bairro 338,43315,4,1066,84
Bairro 339,16725,9,1660,114
Bairro 340,4425,8,1457,125
Bairro 341,21685,3,1410,117
Bairro 342,9733,6,1413,114
Bairro 343,56238,2,1174,53
Bairro 344,39631,2,1710,50
Bairro 345,44752,7,1236,29
Bairro 346,31729,8,2379,28
Bairro 347,26230,7,2036,112
Bairro 348,21226,9,1093,129
Bairro 349,32949,6,2102,136
Bairro 350,28877,3,1055,137
Bairro 351,26902,1,966,58
Bairro 352,11826,7,633,113
Bairro 353,22751,1,1639,98
Bairro 354,25699,10,991,39
Bairro 355,27750,4,1739,41
Bairro 356,46802,10,2765,98
Bairro 357,33280,8,887,64
Bairro 358,37628,4,1695,59
Bairro 359,54834,3,1199,56
Bairro 360,33003,3,2751,133
Bairro 361,7139,8,1619,145
Bairro 362,44359,8,1309,140
Bairro 363,12229,10,2599,56
Bairro 364,33335,4,504,20
Bairro 365,30887,5,764,29
Bairro 366,54364,4,1768,98
Bairro 367,59432,7,2848,124
Bairro 368,11173,8,720,110
Bairro 369,9894,9,2113,131
Bairro 370,47885,7,1350,70
Bairro 371,4651,2,1521,126
Bairro 372,6085,4,1871,44
Bairro 373,20010,10,2054,78
Bairro 374,7125,2,2640,121
Bairro 375,57166,10,2662,55
Bairro 376,54010,2,754,21
Bairro 377,39390,8,2935,23
Bairro 378,13493,1,2610,65
Bairro 379,45201,9,988,102
Bairro 380,4141,2,1322,64
Bairro 381,32173,10,2785,46
Bairro 382,41904,10,1149,116
Bairro 383,41427,4,1583,121
Bairro 384,10836,4,2671,40
Bairro 385,45332,5,902,113
Bairro 386,9819,1,2710,21
Bairro 387,11235,4,2470,35
Bairro 388,9300,1,2824,83
Bairro 389,27329,3,2354,140
Bairro 390,9984,10,1010,96
Bairro 391,56077,2,678,108
Bairro 392,33118,10,1908,140
Bairro 393,56332,3,2556,46
Bairro 394,18922,4,1885,48
Bairro 395,25957,1,673,43
Bairro 396,8755,3,2669,139
Bairro 397,5939,1,1724,82
Bairro 398,27659,2,1597,56
Bairro 399,25848,3,655,145
Bairro 400,52582,4,1362,23
Bairro 401,43717,1,2551,137
Bairro 402,18004,9,1179,130
Bairro 403,45792,7,2686,91
Bairro 404,51636,5,2037,52
Bairro 405,56332,3,733,63
Bairro 406,4317,7,1526,23
Bairro 407,31310,5,1726,48
Bairro 408,41146,1,2529,41
Bairro 409,54061,2,661,30
Bairro 410,27113,2,2857,118
Bairro 411,22144,4,744,45
Bairro 412,55321,8,692,50
Bairro 413,47368,3,2517,65
Bairro 414,13865,1,2593,116
Bairro 415,33441,9,910,131
Bairro 416,26858,2,1044,134
Bairro 417,37496,7,1120,141
Bairro 418,47488,6,871,112
Bairro 419,14479,6,1027,83
Bairro 420,8323,9,2229,50
Bairro 421,51888,7,1043,45
Bairro 422,22839,8,2972,63
Bairro 423,19236,10,1504,36
Bairro 424,17524,6,891,46
Bairro 425,19897,3,1846,71
Bairro 426,8060,3,1690,102
Bairro 427,30905,6,1770,21
Bairro 428,52918,8,1464,45
Bairro 429,29453,8,975,149
Bairro 430,40950,8,1464,124
Bairro 431,14551,7,922,41
Bairro 432,28906,4,1410,102
Bairro 433,10718,3,1336,99
Bairro 434,6358,4,1812,73
Bairro 435,48499,4,2600,129
Bairro 436,57203,3,1713,69
Bairro 437,44320,6,2552,112
Bairro 438,14068,4,862,133
Bairro 439,21376,8,2967,129
Bairro 440,6948,3,1160,53
Bairro 441,33203,7,2106,90
Bairro 442,8533,5,2107,112
Bairro 443,49257,4,2988,134
Bairro 444,8820,4,809,94
Bairro 445,37211,6,2347,107
Bairro 446,22717,1,1307,37
Bairro 447,18269,9,2912,89
Bairro 448,55343,4,729,98
Bairro 449,16987,2,638,135
Bairro 450,8962,6,584,63
Bairro 451,42222,4,1565,85
Bairro 452,10860,6,2077,37
Bairro 453,5273,8,2057,133
Bairro 454,31303,9,1391,89
Bairro 455,51686,5,2541,78
Bairro 456,47751,3,2750,99
Bairro 457,21749,5,1560,133
Bairro 458,31537,9,1149,114
Bairro 459,52579,10,2243,30
Bairro 460,48242,5,830,138
Bairro 461,33920,9,2396,66
Bairro 462,42582,3,934,116
Bairro 463,35512,5,2085,50
Bairro 464,46575,2,2386,41
Bairro 465,56582,5,2100,62
Bairro 466,13273,9,1396,49
Bairro 467,49035,9,1233,121
Bairro 468,10969,9,2368,66
Bairro 469,36926,5,1265,99
Bairro 470,18311,8,1226,97
Bairro 471,39647,5,2638,36
Bairro 472,22603,10,908,60
Bairro 473,50620,6,1790,71
Bairro 474,24478,5,2817,52
Bairro 475,14386,8,641,27
Bairro 476,57900,6,1168,24
Bairro 477,24086,8,1516,69
Bairro 478,27803,4,2390,88
Bairro 479,51275,4,2676,72
Bairro 480,45060,7,2732,137
Bairro 481,18187,6,2243,111
Bairro 482,55799,9,807,34
Bairro 483,7539,10,1171,71
Bairro 484,51150,5,715,63
Bairro 485,37864,1,1256,130
Bairro 486,21859,1,1692,89
Bairro 487,29421,2,1660,32
Bairro 488,39974,7,1277,54
Bairro 489,51753,6,2523,93
Bairro 490,28110,10,2035,102
Bairro 491,28393,4,1123,77
Bairro 492,46841,10,1998,54
Bairro 493,11995,1,865,82
Bairro 494,25429,8,2546,36
Bairro 495,26423,6,2716,65
Bairro 496,56839,8,2328,115
Bairro 497,27434,10,944,31
Bairro 498,43018,6,1803,127
Bairro 499,20296,10,2939,120
Bairro 500,25912,6,1619,37
Bairro 501,24977,7,1605,60
Bairro 502,43116,6,2848,124
Bairro 503,33966,5,1780,44
Bairro 504,49995,8,1960,119
Bairro 505,56114,5,2132,28
Bairro 506,31154,3,529,22
Bairro 507,58922,4,2899,102
Bairro 508,48909,8,1002,127
Bairro 509,14873,7,1267,104
Bairro 510,21225,1,2889,118
Bairro 511,52738,1,981,135
Bairro 512,57891,2,1663,51
Bairro 513,49214,3,1880,110
Bairro 514,37589,9,2732,119
Bairro 515,27146,10,829,148
Bairro 516,21396,5,1418,98
Bairro 517,46187,3,1268,143
Bairro 518,24071,5,713,69
Bairro 519,15101,5,2835,23
Bairro 520,29449,4,629,108
Bairro 521,53211,3,2578,80
Bairro 522,9166,5,1651,91
Bairro 523,10681,8,2049,42
Bairro 524,40903,6,2380,110
Bairro 525,42628,5,2288,101
Bairro 526,49853,5,885,43
Bairro 527,10683,6,1098,138
Bairro 528,38876,3,1874,103
Bairro 529,22182,8,703,110
Bairro 530,24731,6,1351,48
Bairro 531,38124,3,1205,103
Bairro 532,55513,6,567,112
Bairro 533,18036,9,650,149
Bairro 534,10086,9,1834,68
Bairro 535,56248,1,2960,21
Bairro 536,50923,4,2053,111
Bairro 537,8182,8,2373,119
Bairro 538,27862,2,2045,144
Bairro 539,37149,1,1153,42
Bairro 540,31541,3,1841,40
Bairro 541,12980,6,1388,147
Bairro 542,46318,4,2128,46
Bairro 543,41291,5,723,110
Bairro 544,16003,9,1351,51
Bairro 545,8248,5,2858,140
Bairro 546,26809,5,1439,102
Bairro 547,23662,9,1919,105
Bairro 548,27712,10,1801,146
Bairro 549,45410,8,1290,22
Bairro 550,43702,1,1947,134
Bairro 551,6267,2,1964,98
Bairro 552,17467,9,1670,58
Bairro 553,7659,2,1037,135
Bairro 554,20137,6,629,108
Bairro 555,6421,4,2786,41
Bairro 556,54048,4,735,23
Bairro 557,35122,10,1312,90
Bairro 558,44377,2,2568,62
Bairro 559,12202,5,1705,120
Bairro 560,51830,4,1938,44
Bairro 561,12189,10,2564,41
Bairro 562,43664,9,2219,138
Bairro 563,7801,1,2889,84
Bairro 564,35060,9,2126,27
Bairro 565,6954,2,1083,65
Bairro 566,23895,2,2847,47
Bairro 567,56281,8,1528,133
Bairro 568,35029,2,1061,88
Bairro 569,30933,8,1956,40
Bairro 570,12899,3,705,54
Bairro 571,36544,2,1923,131
Bairro 572,46643,5,2163,31
Bairro 573,22797,4,1111,66
Bairro 574,49911,7,2136,79
Bairro 575,25123,1,661,107
Bairro 576,15952,9,2669,68
Bairro 577,51888,7,862,147
Bairro 578,58038,6,2658,146
Bairro 579,19608,4,1307,149
Bairro 580,36650,2,1390,110
Bairro 581,58034,1,2414,75
Bairro 582,28159,2,2797,117
Bairro 583,51804,8,1827,116
Bairro 584,37091,2,891,100
Bairro 585,34431,4,2924,53
Bairro 586,21621,3,693,53
Bairro 587,49933,8,2985,70
Bairro 588,8218,8,1847,110
Bairro 589,19391,4,1856,147
Bairro 590,25277,5,907,88
Bairro 591,21518,4,1898,133
Bairro 592,59378,4,2669,53
Bairro 593,49638,7,1983,35
Bairro 594,28379,10,2934,100
Bairro 595,58237,1,554,45
Bairro 596,44094,9,1137,142
Bairro 597,26023,5,2599,132
Bairro 598,13072,8,2302,116
Bairro 599,5963,5,869,55
Bairro 600,30991,1,576,84
Bairro 601,26549,7,1629,84
Bairro 602,34996,6,2154,38
Bairro 603,37291,9,2570,113
Bairro 604,15572,2,1252,77
Bairro 605,19269,10,2062,26
Bairro 606,26594,7,761,101
Bairro 607,18932,4,1434,52
Bairro 608,18708,2,2210,93
Bairro 609,53680,5,1855,130
Bairro 610,13597,3,1326,131
Bairro 611,41768,3,1148,119
Bairro 612,28857,4,2785,116
Bairro 613,37459,10,758,135
Bairro 614,33263,2,672,31
Bairro 615,10760,4,2078,45
Bairro 616,26989,10,1312,47
Bairro 617,34114,5,2371,110
Bairro 618,30977,6,2967,88
Bairro 619,42651,6,538,139
Bairro 620,12457,2,732,148
Bairro 621,39864,7,1709,54
Bairro 622,20945,6,821,105
Bairro 623,41330,7,1140,142
Bairro 624,41261,10,2008,144
Bairro 625,55415,8,2969,124
Bairro 626,43295,2,1280,29
Bairro 627,50617,4,2658,41
Bairro 628,6679,4,1302,33
Bairro 629,19317,10,1101,59
Bairro 630,42807,5,2108,81
Bairro 631,13588,4,2516,108
Bairro 632,9915,5,1240,32
Bairro 633,40065,5,2854,123
Bairro 634,36803,3,2213,121
Bairro 635,45520,3,1399,133
Bairro 636,56706,4,858,86
Bairro 637,33563,9,731,136
Bairro 638,48427,3,1532,71
Bairro 639,15522,10,2623,81
Bairro 640,57597,7,671,39
Bairro 641,22862,6,979,35
Bairro 642,39354,9,2432,81
Bairro 643,36473,5,2000,20
Bairro 644,30850,3,1833,101
Bairro 645,49875,8,2726,117
Bairro 646,29473,3,929,88
Bairro 647,50907,5,1339,61
Bairro 648,46111,4,2415,48
Bairro 649,56994,3,2500,77
Bairro 650,16779,10,1766,91
Bairro 651,35809,10,2136,110
Bairro 652,38440,4,2009,59
Bairro 653,6731,8,1309,47
Bairro 654,53381,5,2752,46
Bairro 655,58807,3,1312,125
Bairro 656,48545,2,2721,95
Bairro 657,34206,6,2492,108
Bairro 658,39182,6,2693,90
Bairro 659,16094,5,2740,59
Bairro 660,48909,1,2743,112
Bairro 661,52115,8,2016,26
Bairro 662,13976,3,2075,123
Bairro 663,21595,9,908,47
Bairro 664,17602,4,1616,143
Bairro 665,32744,7,684,121
Bairro 666,59385,5,2100,139
Bairro 667,11321,8,2203,118
Bairro 668,11501,9,2673,67
Bairro 669,33000,6,1523,137
Bairro 670,7525,1,847,97
Bairro 671,31872,6,1493,88
Bairro 672,14699,6,1651,80
Bairro 673,46525,9,2322,95
Bairro 674,4964,7,1909,143
Bairro 675,51345,8,2917,65
Bairro 676,42190,2,1374,55
Bairro 677,16802,10,1764,126
Bairro 678,50918,5,1749,44
Bairro 679,42910,9,786,125
Bairro 680,12795,3,1570,41
Bairro 681,21452,1,827,69
Bairro 682,44063,8,558,148
Bairro 683,17973,6,1160,21
Bairro 684,16247,10,677,136
Bairro 685,42315,6,2899,99
Bairro 686,48547,2,966,55
Bairro 687,12580,8,1042,119
Bairro 688,15429,2,910,109
Bairro 689,47055,1,2491,136
Bairro 690,12815,4,2248,108
Bairro 691,19827,7,2000,143
Bairro 692,25164,7,2243,132
Bairro 693,24860,10,1207,109
Bairro 694,14202,3,951,94
Bairro 695,21352,8,1118,40
Bairro 696,44842,10,1244,23
Bairro 697,44321,10,2582,25
Bairro 698,10874,6,612,73
Bairro 699,17834,10,2630,32
Bairro 700,26761,2,2561,50
Bairro 701,42148,4,1896,24
Bairro 702,48071,3,1311,56
Bairro 703,23878,7,2504,41
Bairro 704,28275,1,2913,80
Bairro 705,58768,1,2098,29
Bairro 706,58923,8,1742,49
Bairro 707,29958,6,2433,103
Bairro 708,11654,10,1975,45
Bairro 709,28514,4,858,109
Bairro 710,13099,8,2522,131
Bairro 711,17146,3,1629,130
Bairro 712,53922,7,536,122
Bairro 713,23848,10,1768,84
Bairro 714,36069,9,2118,118
Bairro 715,52572,9,1310,42
Bairro 716,6882,8,2091,32
Bairro 717,25580,4,2164,111
Bairro 718,13810,9,2301,37
Bairro 719,56529,5,1921,42
Bairro 720,24312,6,1815,58
Bairro 721,15653,1,614,52
Bairro 722,6851,8,2233,23
Bairro 723,23294,7,741,78
Bairro 724,41069,3,1151,73
Bairro 725,48633,9,1855,76
Bairro 726,53460,5,2863,111
Bairro 727,24477,4,1879,96
Bairro 728,46795,2,824,72
Bairro 729,8165,9,500,127
Bairro 730,33151,1,2966,142
Bairro 731,27124,10,1611,143
Bairro 732,14935,10,901,33
Bairro 733,4482,9,985,61
Bairro 734,20775,10,2719,83
Bairro 735,56725,9,2830,102
Bairro 736,47492,10,2845,27
Bairro 737,30340,7,2665,73
Bairro 738,49136,5,1374,79
Bairro 739,53846,7,2311,127
Bairro 740,57798,4,607,110
Bairro 741,27165,9,2364,35
Bairro 742,39612,6,2249,43
Bairro 743,54148,1,2327,82
Bairro 744,17360,9,2001,60
Bairro 745,47768,5,1193,130
Bairro 746,27036,7,2565,33
Bairro 747,13206,9,1659,143
Bairro 748,50497,1,2859,99
Bairro 749,22816,6,2335,50
Bairro 750,25949,8,963,112
Bairro 751,34560,6,871,89
Bairro 752,47525,6,770,89
Bairro 753,22125,6,2642,127
Bairro 754,39614,6,2880,91
Bairro 755,11438,8,743,138
Bairro 756,40672,10,2519,89
Bairro 757,28573,8,1751,86
Bairro 758,46365,7,1401,124
Bairro 759,17389,4,634,144
Bairro 760,30893,6,1008,70
Bairro 761,23019,8,1738,37
Bairro 762,49553,10,500,89
