Bairro,População,Criticidade,Impacto (m2),Custo (R$ mil)
Bairro 58,54474,9,1220,87
Bairro 59,40301,1,2276,138
Bairro 60,48392,10,2115,99
Bairro 61,25270,7,2365,87
Bairro 62,12334,1,799,35
Bairro 63,29210,9,2508,75
Bairro 64,50443,4,1659,85
Bairro 65,35842,4,1901,86
Bairro 66,21148,5,2767,62
Bairro 67,37038,8,2183,123
Bairro 68,19394,2,2379,54
Bairro 69,28457,7,1500,56
Bairro 70,30128,5,680,121
Bairro 71,12082,3,664,132
Bairro 72,10104,2,561,139
Bairro 73,17245,4,2695,57
Bairro 74,52822,7,1582,143
Bairro 75,34836,8,528,37
Bairro 76,46101,7,880,77
Bairro 77,22563,8,2572,112
Bairro 78,4723,8,1330,22
Bairro 79,52335,5,1003,72
Bairro 80,27708,8,2131,80
Bairro 81,52126,3,1257,83
Bairro 82,24911,9,2068,90
Bairro 83,26647,8,2952,58
Bairro 84,22366,1,1534,107
Bairro 85,27552,10,1598,49
Bairro 86,53534,1,939,72
Bairro 87,55020,7,1276,70
Bairro 88,39750,5,2427,37
Bairro 89,46729,5,522,113
Bairro 90,32617,9,1837,32
Bairro 91,52853,7,654,35
Bairro 92,34718,4,2786,119
Bairro 93,19432,2,523,27
Bairro 94,9489,6,828,44
Bairro 95,26141,10,2120,142
Bairro 96,31430,10,839,111
Bairro 97,36501,1,2103,87
Bairro 98,22462,10,1741,93
Bairro 99,53063,7,717,64
Bairro 100,34968,5,1627,51
Bairro 101,38528,1,596,77
Bairro 102,4283,10,690,33
Bairro 103,12942,7,2483,129
Bairro 104,57095,6,506,136
Bairro 105,25766,8,1901,146
Bairro 106,55784,7,2890,120
Bairro 107,18659,5,1203,81
Bairro 108,42360,4,1241,138
Bairro 109,22584,8,870,89
Bairro 110,51002,3,1939,29
Bairro 111,44269,3,1546,50
Bairro 112,8705,10,2833,77
Bairro 113,14959,1,2543,54
Bairro 114,42118,2,2006,43
Bairro 115,20363,3,2003,145
Bairro 116,30862,3,2778,129
Bairro 117,59085,1,2044,148
Bairro 118,5795,10,2468,147
Bairro 119,33207,3,1468,53
Bairro 120,56611,4,2634,31
Bairro 121,16060,10,2970,61
Bairro 122,57898,6,2855,56
Bairro 123,9806,1,2311,112
Bairro 124,27165,8,2549,136
Bairro 125,43201,6,2088,23
Bairro 126,57446,7,1917,23
Bairro 127,8798,1,1922,137
Bairro 128,30604,9,1290,50
Bairro 129,9300,4,1827,112
Bairro 130,6755,3,2020,135
Bairro 131,27792,9,2586,99
Bairro 132,24106,2,703,75
Bairro 133,18449,9,2457,76
Bairro 134,49948,2,1664,96
Bairro 135,47283,5,938,98
Bairro 136,49843,9,1991,23
Bairro 137,58841,1,551,135
Bairro 138,13743,9,1293,121
Bairro 139,41428,6,1437,23
Bairro 140,6385,4,501,127
Bairro 141,28670,5,2565,58
Bairro 142,43243,6,1172,98
Bairro 143,56214,10,1710,63
Bairro 144,37743,10,971,67
Bairro 145,51481,3,1086,24
Bairro 146,41243,4,2740,92
Bairro 147,10647,9,1010,137
Bairro 148,21471,6,2127,114
Bairro 149,29219,2,1466,56
Bairro 150,57294,9,1406,109
Bairro 151,37561,2,2290,126
Bairro 152,23940,3,956,37
Bairro 153,34385,10,2601,109
Bairro 154,19942,5,2003,93
Bairro 155,14866,4,2915,58
Bairro 156,23817,9,1255,47
Bairro 157,35115,6,1383,83
Bairro 158,45006,2,833,124
Bairro 159,21891,3,2519,77
Bairro 160,8696,4,1352,34
Bairro 161,9397,9,2630,134
Bairro 162,52574,7,2488,75
Bairro 163,27968,10,621,133
Bairro 164,49729,1,1944,123
Bairro 165,38878,4,1823,68
Bairro 166,42984,9,2848,28
Bairro 167,5732,6,1528,24
Bairro 168,48925,5,2260,41
Bairro 169,25560,5,2470,83
Bairro 170,49890,4,854,97
Bairro 171,12822,9,720,142
Bairro 172,22349,10,1889,60
Bairro 173,39688,2,803,142
Bairro 174,34994,10,2544,126
Bairro 175,51587,1,1626,135
Bairro 176,5644,10,2838,125
Bairro 177,41708,9,2364,74
Bairro 178,33886,7,1661,39
Bairro 179,21002,2,1508,26
Bairro 180,6479,4,2870,68
Bairro 181,27218,6,2650,52
Bairro 182,6969,4,1386,54
Bairro 183,41922,1,581,41
Bairro 184,43022,7,2521,73
Bairro 185,5236,7,2467,42
Bairro 186,43222,2,740,72
Bairro 187,14493,10,1066,66
Bairro 188,6018,7,564,83
Bairro 189,22912,8,2013,20
Bairro 190,35157,6,2143,49
Bairro 191,8228,6,1264,45
Bairro 192,31528,6,1342,123
Bairro 193,10434,2,1400,104
Bairro 194,56120,6,2671,25
Bairro 195,4363,6,2800,23
Bairro 196,59079,4,1324,57
Bairro 197,27436,6,2282,137
Bairro 198,40619,6,1326,30
Bairro 199,19671,9,2386,146
Bairro 200,15479,5,2125,55
Bairro 201,19942,1,1254,77
Bairro 202,12503,2,2175,47
Bairro 203,45073,7,1046,109
Bairro 204,21904,2,2341,54
Bairro 205,42591,7,1033,65
Bairro 206,16972,3,611,145
Bairro 207,16256,2,2227,118
Bairro 208,46701,7,1797,142
Bairro 209,24252,10,829,63
Bairro 210,19476,2,2820,98
Bairro 211,12051,8,903,63
Bairro 212,21859,9,584,115
Bairro 213,22530,1,2734,81
Bairro 214,50821,3,872,46
Bairro 215,40417,7,1451,25
Bairro 216,20172,6,2917,55
Bairro 217,40755,9,2064,57
Bairro 218,29514,10,1911,97
Bairro 219,23860,6,801,76
Bairro 220,16288,7,608,69
Bairro 221,44537,6,1109,42
Bairro 222,26661,3,2947,26
Bairro 223,47816,6,2852,43
Bairro 224,11402,10,1518,75
Bairro 225,28681,10,1252,28
Bairro 226,12482,6,1017,90
Bairro 227,12872,4,2344,129
Bairro 228,52455,10,831,110
Bairro 229,53992,5,1564,137
Bairro 230,42053,7,2262,36
Bairro 231,45837,7,1060,76
Bairro 232,31945,2,887,61
Bairro 233,23480,1,1611,74
Bairro 234,38987,8,503,27
Bairro 235,9090,2,2451,107
Bairro 236,7696,6,1147,78
Bairro 237,43758,4,1841,61
Bairro 238,48919,3,795,144
Bairro 239,32441,6,2917,73
Bairro 240,48578,1,2079,109
Bairro 241,55857,5,2557,33
Bairro 242,32935,1,2696,41
Bairro 243,55589,9,1221,33
Bairro 244,16072,3,1999,137
Bairro 245,39374,6,1178,54
Bairro 246,38960,9,1627,121
Bairro 247,24117,5,789,31
Bairro 248,13883,10,2206,50
Bairro 249,42530,5,1882,55
Bairro 250,20034,6,2782,22
Bairro 251,56070,8,750,52
Bairro 252,35892,1,2449,96
Bairro 253,5291,4,920,132
Bairro 254,50331,4,1619,58
Bairro 255,16996,8,1308,128
Bairro 256,43769,8,1657,75
Bairro 257,31010,2,1973,33
Bairro 258,42960,9,2618,60
Bairro 259,48966,1,1291,106
Bairro 260,46750,1,901,142
Bairro 261,19509,9,2670,147
Bairro 262,42310,2,2951,133
Bairro 263,44164,6,1681,45
Bairro 264,28017,5,2529,89
Bairro 265,19387,4,2659,93
Bairro 266,36689,3,2254,61
Bairro 267,15920,7,2565,32
Bairro 268,33837,3,2256,94
Bairro 269,38584,10,508,139
Bairro 270,26485,3,2857,124
Bairro 271,58955,2,1572,49
Bairro 272,7210,6,1654,30
Bairro 273,10090,4,2350,122
Bairro 274,5835,4,2846,135
Bairro 275,27469,5,2986,64
Bairro 276,31092,3,1388,47
Bairro 277,5278,1,861,70
Bairro 278,39012,5,1476,122
Bairro 279,38113,9,2803,76
Bairro 280,52731,4,758,47
Bairro 281,52390,2,2386,38
Bairro 282,22644,9,1923,61
Bairro 283,43772,10,934,57
Bairro 284,33909,9,2664,104
Bairro 285,59123,6,2414,66
Bairro 286,16040,8,917,74
Bairro 287,24628,5,628,135
Bairro 288,14471,7,2110,58
Bairro 289,53864,3,778,122
Bairro 290,56013,6,2282,138
Bairro 291,31748,8,2280,103
Bairro 292,23813,7,1549,64
Bairro 293,56062,8,689,87
Bairro 294,37605,7,2756,23
Bairro 295,6137,5,1139,82
Bairro 296,24040,10,1782,89
Bairro 297,37342,4,1416,35
Bairro 298,10167,3,779,109
Bairro 299,42161,8,647,24
Bairro 300,32270,7,1110,108
Bairro 301,30652,2,583,112
Bairro 302,46442,9,901,86
Bairro 303,25745,8,2243,86
Bairro 304,50365,8,2002,91
Bairro 305,6030,9,2503,118
Bairro 306,46848,2,1757,23
Bairro 307,16923,10,2067,60
Bairro 308,25702,3,1160,68
Bairro 309,25031,2,1202,43
Bairro 310,58865,6,1854,135
Bairro 311,19211,3,1002,105
Bairro 312,51251,3,1286,90
Bairro 313,28503,2,1244,53
Bairro 314,36067,5,1162,104
Bairro 315,6899,2,2909,84
Bairro 316,35050,8,2183,73
Bairro 317,26458,3,2156,101
Bairro 318,23388,7,1223,98
Bairro 319,26646,5,2452,22
Bairro 320,39221,7,2421,60
Bairro 321,11172,8,878,81
Bairro 322,17672,4,1291,34
Bairro 323,15474,8,2740,73
Bairro 324,12298,3,2143,125
Bairro 325,38606,7,2664,121
Bairro 326,19371,8,561,61
Bairro 327,38437,4,1004,124
Bairro 328,50899,2,901,69
Bairro 329,41806,5,792,97
Bairro 330,56648,6,2048,33
Bairro 331,41902,1,1422,65
Bairro 332,18795,10,1017,64
Bairro 333,11045,3,2267,55
Bairro 334,50120,8,2916,145
Bairro 335,55440,3,2310,112
Bairro 336,50761,4,1921,132
Bairro 337,10394,8,2862,88
Bairro 338,43315,5,2388,34
Bairro 339,16725,8,2175,35
Bairro 340,4425,9,1923,123
Bairro 341,21685,1,1965,51
Bairro 342,9733,9,1464,32
Bairro 343,56238,8,2384,97
Bairro 344,39631,10,1997,70
Bairro 345,44752,10,2956,64
Bairro 346,31729,3,777,40
Bairro 347,26230,4,981,121
Bairro 348,21226,9,2186,121
Bairro 349,32949,8,564,113
Bairro 350,28877,9,2333,115
Bairro 351,26902,2,1929,107
Bairro 352,11826,8,1593,47
Bairro 353,22751,5,1946,87
Bairro 354,25699,7,2746,136
Bairro 355,27750,2,583,124
Bairro 356,46802,5,2609,128
Bairro 357,33280,10,2407,97
Bairro 358,37628,3,1738,78
Bairro 359,54834,4,2100,33
Bairro 360,33003,1,1999,121
Bairro 361,7139,2,2446,92
Bairro 362,44359,7,570,140
Bairro 363,12229,8,555,83
Bairro 364,33335,1,2777,58
Bairro 365,30887,2,965,74
Bairro 366,54364,9,764,149
Bairro 367,59432,1,1732,101
Bairro 368,11173,3,1839,53
Bairro 369,9894,6,999,73
Bairro 370,47885,10,1093,141
Bairro 371,4651,8,764,82
Bairro 372,6085,5,700,69
Bairro 373,20010,10,2788,97
Bairro 374,7125,9,2719,110
Bairro 375,57166,8,2072,129
Bairro 376,54010,5,1885,48
Bairro 377,39390,10,1067,137
Bairro 378,13493,3,2176,40
Bairro 379,45201,8,2888,66
Bairro 380,4141,6,1387,65
Bairro 381,32173,4,639,92
Bairro 382,41904,9,1314,33
Bairro 383,41427,5,1225,58
Bairro 384,10836,9,1429,39
Bairro 385,45332,9,1896,47
Bairro 386,9819,7,1997,28
Bairro 387,11235,6,2063,106
Bairro 388,9300,4,595,100
Bairro 389,27329,1,2999,114
Bairro 390,9984,9,2004,103
Bairro 391,56077,10,1276,139
Bairro 392,33118,4,733,95
Bairro 393,56332,5,607,123
Bairro 394,18922,8,2493,115
Bairro 395,25957,1,2724,133
Bairro 396,8755,6,1110,83
Bairro 397,5939,4,1325,34
Bairro 398,27659,5,2561,107
Bairro 399,25848,1,505,26
Bairro 400,52582,6,2275,67
Bairro 401,43717,1,865,140
Bairro 402,18004,10,1816,116
Bairro 403,45792,1,2601,51
Bairro 404,51636,4,2122,104
Bairro 405,56332,5,2048,51
Bairro 406,4317,9,848,126
Bairro 407,31310,9,2616,71
Bairro 408,41146,10,1821,128
Bairro 409,54061,6,1244,144
Bairro 410,27113,8,2270,21
Bairro 411,22144,8,1477,86
Bairro 412,55321,10,1289,147
Bairro 413,47368,8,2014,141
Bairro 414,13865,1,2525,125
Bairro 415,33441,7,1749,113
Bairro 416,26858,8,2661,44
Bairro 417,37496,4,1689,54
Bairro 418,47488,3,2940,104
Bairro 419,14479,3,2703,46
Bairro 420,8323,6,2756,65
Bairro 421,51888,1,1668,49
Bairro 422,22839,1,1388,91
Bairro 423,19236,6,934,107
Bairro 424,17524,6,1361,57
Bairro 425,19897,1,1687,79
Bairro 426,8060,7,2731,98
Bairro 427,30905,8,747,82
Bairro 428,52918,8,2700,51
Bairro 429,29453,4,1944,50
Bairro 430,40950,8,2892,54
Bairro 431,14551,4,2544,27
Bairro 432,28906,5,1793,69
Bairro 433,10718,8,2491,141
Bairro 434,6358,4,2283,82
Bairro 435,48499,1,1264,79
Bairro 436,57203,2,2619,22
Bairro 437,44320,7,1775,137
Bairro 438,14068,4,767,71
Bairro 439,21376,9,2253,136
Bairro 440,6948,3,2663,131
Bairro 441,33203,7,2781,43
Bairro 442,8533,3,1776,141
Bairro 443,49257,6,970,78
Bairro 444,8820,3,2707,51
Bairro 445,37211,9,2181,43
Bairro 446,22717,2,799,79
Bairro 447,18269,3,1613,42
Bairro 448,55343,8,621,63
Bairro 449,16987,10,2661,121
Bairro 450,8962,9,561,140
Bairro 451,42222,6,1428,49
Bairro 452,10860,9,786,63
Bairro 453,5273,4,1815,88
Bairro 454,31303,7,1511,26
Bairro 455,51686,4,2592,83
Bairro 456,47751,5,2490,77
Bairro 457,21749,6,2171,141
Bairro 458,31537,1,2776,50
Bairro 459,52579,10,1592,137
Bairro 460,48242,9,992,37
Bairro 461,33920,3,2252,87
Bairro 462,42582,4,1594,70
Bairro 463,35512,5,1278,32
Bairro 464,46575,3,586,79
Bairro 465,56582,6,1146,142
Bairro 466,13273,8,2809,56
Bairro 467,49035,4,1581,136
Bairro 468,10969,10,2926,76
Bairro 469,36926,4,2390,123
Bairro 470,18311,4,2014,105
Bairro 471,39647,7,871,91
Bairro 472,22603,1,658,84
Bairro 473,50620,7,2866,106
Bairro 474,24478,4,1514,93
Bairro 475,14386,7,2411,139
Bairro 476,57900,8,1791,70
Bairro 477,24086,2,2708,36
Bairro 478,27803,4,2391,65
Bairro 479,51275,7,2434,101
Bairro 480,45060,9,609,101
Bairro 481,18187,7,1303,56
Bairro 482,55799,6,2129,139
Bairro 483,7539,10,2044,46
Bairro 484,51150,4,1026,29
Bairro 485,37864,3,2985,136
Bairro 486,21859,9,2060,65
Bairro 487,29421,3,2748,53
Bairro 488,39974,8,2941,32
Bairro 489,51753,7,1132,75
Bairro 490,28110,4,553,24
Bairro 491,28393,1,1084,57
Bairro 492,46841,4,601,131
Bairro 493,11995,6,2758,68
Bairro 494,25429,10,530,29
Bairro 495,26423,6,2774,84
Bairro 496,56839,1,2114,68
Bairro 497,27434,5,2265,22
Bairro 498,43018,3,729,32
Bairro 499,20296,7,1588,71
Bairro 500,25912,1,1870,108
Bairro 501,24977,10,2847,88
Bairro 502,43116,1,1866,52
Bairro 503,33966,10,1197,148
Bairro 504,49995,1,2339,78
Bairro 505,56114,7,2645,21
Bairro 506,31154,3,2988,92
Bairro 507,58922,2,1036,89
Bairro 508,48909,8,1127,141
Bairro 509,14873,4,1943,106
Bairro 510,21225,10,2999,96
Bairro 511,52738,10,1732,52
Bairro 512,57891,7,1407,119
Bairro 513,49214,10,1373,116
Bairro 514,37589,4,2913,140
Bairro 515,27146,9,2189,70
Bairro 516,21396,2,1951,123
Bairro 517,46187,2,2374,145
Bairro 518,24071,9,1364,127
Bairro 519,15101,4,2466,78
Bairro 520,29449,6,2626,49
Bairro 521,53211,1,1833,24
Bairro 522,9166,1,1929,77
Bairro 523,10681,2,1777,141
Bairro 524,40903,4,1612,103
Bairro 525,42628,4,1829,66
Bairro 526,49853,3,1383,94
Bairro 527,10683,10,1852,48
Bairro 528,38876,10,1627,128
Bairro 529,22182,6,1508,79
Bairro 530,24731,1,1646,39
Bairro 531,38124,5,947,54
Bairro 532,55513,5,2786,66
Bairro 533,18036,5,649,118
Bairro 534,10086,5,1727,99
Bairro 535,56248,5,2743,92
Bairro 536,50923,2,1159,124
Bairro 537,8182,7,2532,39
Bairro 538,27862,6,1674,31
Bairro 539,37149,1,1431,147
Bairro 540,31541,6,2804,34
Bairro 541,12980,9,694,67
Bairro 542,46318,7,1542,32
Bairro 543,41291,4,2463,148
Bairro 544,16003,4,1017,30
Bairro 545,8248,10,2438,72
Bairro 546,26809,1,2475,42
Bairro 547,23662,10,924,42
Bairro 548,27712,8,2349,137
Bairro 549,45410,2,1682,82
Bairro 550,43702,6,2560,70
Bairro 551,6267,1,695,41
Bairro 552,17467,3,1394,39
Bairro 553,7659,2,1710,77
Bairro 554,20137,8,2625,134
Bairro 555,6421,3,992,143
Bairro 556,54048,6,707,124
Bairro 557,35122,1,2626,106
Bairro 558,44377,2,1095,80
Bairro 559,12202,7,1390,128
Bairro 560,51830,5,1932,35
Bairro 561,12189,1,1271,81
Bairro 562,43664,3,508,68
Bairro 563,7801,2,2785,73
Bairro 564,35060,5,2213,30
Bairro 565,6954,1,1454,105
Bairro 566,23895,7,801,140
Bairro 567,56281,4,852,33
Bairro 568,35029,8,1955,131
Bairro 569,30933,2,693,67
Bairro 570,12899,3,1179,48
Bairro 571,36544,8,853,134
Bairro 572,46643,6,1425,110
Bairro 573,22797,5,814,116
Bairro 574,49911,9,1201,39
Bairro 575,25123,1,2016,68
Bairro 576,15952,9,2095,54
Bairro 577,51888,7,901,100
Bairro 578,58038,3,761,143
Bairro 579,19608,7,834,27
Bairro 580,36650,6,2955,76
Bairro 581,58034,1,2996,75
Bairro 582,28159,5,1769,114
Bairro 583,51804,8,2949,123
Bairro 584,37091,2,1860,87
Bairro 585,34431,5,2694,34
Bairro 586,21621,7,2071,32
Bairro 587,49933,6,1538,42
Bairro 588,8218,10,1533,30
Bairro 589,19391,6,641,66
Bairro 590,25277,7,1143,147
Bairro 591,21518,6,1871,79
Bairro 592,59378,5,2278,83
Bairro 593,49638,2,1274,83
Bairro 594,28379,2,916,135
Bairro 595,58237,2,2194,58
Bairro 596,44094,7,2837,33
Bairro 597,26023,6,1348,136
Bairro 598,13072,4,1289,34
Bairro 599,5963,5,2311,144
Bairro 600,30991,9,667,52
Bairro 601,26549,7,1276,54
Bairro 602,34996,9,1896,128
Bairro 603,37291,9,2903,97
Bairro 604,15572,8,2163,77
Bairro 605,19269,4,1535,131
Bairro 606,26594,5,1170,70
Bairro 607,18932,2,568,41
Bairro 608,18708,2,1671,118
Bairro 609,53680,10,2731,145
Bairro 610,13597,7,2440,74
Bairro 611,41768,2,1673,108
Bairro 612,28857,10,1048,141
Bairro 613,37459,10,2200,54
Bairro 614,33263,7,1836,53
Bairro 615,10760,1,699,48
Bairro 616,26989,2,803,79
Bairro 617,34114,6,886,94
Bairro 618,30977,3,2026,35
Bairro 619,42651,9,1321,69
Bairro 620,12457,7,520,57
Bairro 621,39864,2,918,47
Bairro 622,20945,9,1655,25
Bairro 623,41330,2,1609,121
Bairro 624,41261,4,1798,34
Bairro 625,55415,5,1158,58
Bairro 626,43295,7,1830,108
Bairro 627,50617,8,2976,96
Bairro 628,6679,9,1830,136
Bairro 629,19317,5,1377,126
Bairro 630,42807,8,2076,91
Bairro 631,13588,2,1838,104
Bairro 632,9915,10,942,137
Bairro 633,40065,4,1254,121
Bairro 634,36803,9,1037,56
Bairro 635,45520,4,1873,60
Bairro 636,56706,5,1715,97
Bairro 637,33563,1,565,60
Bairro 638,48427,1,1595,116
Bairro 639,15522,8,2670,129
Bairro 640,57597,9,556,145
Bairro 641,22862,4,2380,126
Bairro 642,39354,5,657,30
Bairro 643,36473,1,1485,89
Bairro 644,30850,3,2377,32
Bairro 645,49875,2,1959,144
Bairro 646,29473,7,1510,45
Bairro 647,50907,7,1921,131
Bairro 648,46111,4,2721,120
Bairro 649,56994,5,916,95
Bairro 650,16779,3,2229,132
Bairro 651,35809,9,2182,91
Bairro 652,38440,4,2352,44
Bairro 653,6731,1,1442,100
Bairro 654,53381,8,1333,111
Bairro 655,58807,10,503,138
Bairro 656,48545,4,1137,135
Bairro 657,34206,10,1273,58
Bairro 658,39182,4,904,97
Bairro 659,16094,7,2398,24
Bairro 660,48909,9,684,83
Bairro 661,52115,4,778,65
Bairro 662,13976,2,1775,52
Bairro 663,21595,2,2906,54
Bairro 664,17602,1,505,81
Bairro 665,32744,10,2949,107
Bairro 666,59385,4,1669,88
Bairro 667,11321,2,2296,46
Bairro 668,11501,9,848,65
Bairro 669,33000,2,1633,102
Bairro 670,7525,10,1823,142
Bairro 671,31872,1,2533,114
Bairro 672,14699,2,2224,86
Bairro 673,46525,2,1334,51
Bairro 674,4964,4,1426,116
Bairro 675,51345,1,2703,129
Bairro 676,42190,10,1202,59
Bairro 677,16802,6,1185,34
Bairro 678,50918,3,1439,27
Bairro 679,42910,2,2993,68
Bairro 680,12795,5,2401,29
Bairro 681,21452,2,2346,66
Bairro 682,44063,7,1068,79
Bairro 683,17973,7,2757,96
Bairro 684,16247,8,1378,69
Bairro 685,42315,4,1287,105
Bairro 686,48547,9,1255,88
Bairro 687,12580,2,1296,93
Bairro 688,15429,5,550,149
Bairro 689,47055,9,806,20
Bairro 690,12815,5,588,144
Bairro 691,19827,10,2367,34
Bairro 692,25164,5,2820,29
Bairro 693,24860,1,610,66
Bairro 694,14202,7,2585,80
Bairro 695,21352,8,1393,36
Bairro 696,44842,7,1110,109
Bairro 697,44321,10,1220,105
Bairro 698,10874,10,603,83
Bairro 699,17834,2,1139,72
Bairro 700,26761,7,2619,109
Bairro 701,42148,3,1697,142
Bairro 702,48071,6,1489,147
Bairro 703,23878,4,762,149
Bairro 704,28275,2,1352,47
Bairro 705,58768,3,2218,56
Bairro 706,58923,7,1804,77
Bairro 707,29958,8,1682,86
Bairro 708,11654,1,959,121
Bairro 709,28514,2,1137,65
Bairro 710,13099,1,987,74
Bairro 711,17146,9,949,112
Bairro 712,53922,10,1628,83
Bairro 713,23848,9,2344,117
Bairro 714,36069,10,1156,111
Bairro 715,52572,8,1787,134
Bairro 716,6882,1,1455,38
Bairro 717,25580,6,832,32
Bairro 718,13810,3,2508,126
Bairro 719,56529,5,752,120
Bairro 720,24312,6,580,149
Bairro 721,15653,10,2323,140
Bairro 722,6851,1,2744,116
Bairro 723,23294,9,1228,94
Bairro 724,41069,4,1196,117
Bairro 725,48633,6,2314,67
Bairro 726,53460,4,2249,20
Bairro 727,24477,5,1778,88
Bairro 728,46795,6,2579,40
Bairro 729,8165,4,1245,67
Bairro 730,33151,5,2596,131
Bairro 731,27124,2,1812,120
Bairro 732,14935,1,1351,123
Bairro 733,4482,5,2227,103
Bairro 734,20775,7,2681,48
Bairro 735,56725,5,1751,113
Bairro 736,47492,8,573,116
Bairro 737,30340,8,2016,52
Bairro 738,49136,9,2598,128
Bairro 739,53846,2,1663,114
Bairro 740,57798,2,2661,146
Bairro 741,27165,10,2292,69
Bairro 742,39612,2,916,103
Bairro 743,54148,1,2080,79
Bairro 744,17360,10,565,141
Bairro 745,47768,6,1972,37
Bairro 746,27036,4,1118,132
Bairro 747,13206,6,869,32
Bairro 748,50497,7,2052,35
Bairro 749,22816,9,1975,94
Bairro 750,25949,9,500,64
Bairro 751,34560,10,2997,147
Bairro 752,47525,3,2041,142
Bairro 753,22125,1,1548,118
Bairro 754,39614,5,1805,46
Bairro 755,11438,8,1818,92
Bairro 756,40672,2,2607,131
Bairro 757,28573,10,1608,78
Bairro 758,46365,4,2953,62
Bairro 759,17389,7,1277,147
Bairro 760,30893,2,1991,71
Bairro 761,23019,1,2856,147
Bairro 762,49553,4,1346,66
